Item01,A,4,1,Y,M
Item02,D,4,1,Y,M
Item03,C,4,1,Y,M
Item04,D,4,1,Y,M
Item05,B,4,1,Y,M
Item06,D,4,1,Y,M
Item07,A,4,1,Y,M
Item08,C,4,1,Y,M
Item09,D,4,1,P,M
Item10,B,4,1,P,M
Item11,A,4,2,Y,M
Item12,A,4,2,Y,M
Item13,D,4,2,Y,M
Item14,C,4,2,Y,M
Item15,C,4,2,Y,M
Item16,D,4,2,Y,M
Item17,A,4,2,Y,M
Item18,B,4,2,Y,M
Item19,B,4,2,Y,M
Item20,B,4,2,Y,M
Item21,C,4,2,Y,M
Item22,AD,4,2,Y,M
Item23,D,4,2,Y,M
Item24,A,4,2,Y,M
Item25,C,4,2,Y,M
Item26,B,4,2,Y,M
Item27,D,4,2,P,M
Item28,A,4,2,P,M
Item29,C,4,3,Y,M
Item30,D,4,3,Y,M
Item31,D,4,3,Y,M
Item32,C,4,3,Y,M
Item33,D,4,3,Y,M
Item34,A,4,3,Y,M
Item35,B,4,3,Y,M
Item36,C,4,3,Y,M
Item37,D,4,3,Y,M
Item38,A,4,3,Y,M
Item39,B,4,3,P,M
Item40,D,4,3,P,M
