Item ID,Key,Options,Domain,Include,Item Type
Item01,A,4,1,Y,M
Item02,A,4,1,Y,M
Item03,A,4,1,Y,M
Item04,B,4,1,Y,M
Item05,C,4,1,Y,M
Item06,B,4,1,Y,M
Item07,A,4,1,Y,M
Item08,D,4,1,Y,M
Item09,C,4,1,Y,M
Item10,D,4,1,Y,M
Item11,A,4,2,Y,M
Item12,B,4,2,Y,M
Item13,C,4,2,Y,M
Item14,B,4,2,Y,M
Item15,A,4,2,Y,M
Item16,D,4,2,Y,M
Item17,D,4,2,Y,M
Item18,A,4,2,Y,M
Item19,B,4,2,Y,M
Item20,C,4,2,Y,M
Item21,A,4,2,Y,M
Item22,C,4,2,Y,M
Item23,A,4,2,Y,M
Item24,A,4,2,Y,M
Item25,A,4,2,Y,M
Item26,D,4,2,Y,M
Item27,C,4,2,Y,M
Item28,C,4,2,Y,M
Item29,B,4,3,Y,M
Item30,A,4,3,Y,M
Item31,A,4,3,Y,M
Item32,A,4,3,Y,M
Item33,A,4,3,Y,M
Item34,B,4,3,Y,M
Item35,D,4,3,Y,M
Item36,D,4,3,Y,M
Item37,D,4,3,Y,M
Item38,C,4,3,Y,M
Item39,B,4,3,Y,M
Item40,D,4,3,Y,M
Item41,C,4,4,Y,M
Item42,C,4,4,Y,M
Item43,B,4,4,Y,M
Item44,A,4,4,Y,M
Item45,A,4,4,Y,M
Item46,D,4,4,Y,M
Item47,B,4,4,Y,M
Item48,B,4,4,Y,M
Item49,B,4,4,Y,M
Item50,A,4,4,Y,M
